year,category,subcategory,parameter,technology_or_resource,value_2035,value_2050,unit,file_path_2035,source_dataset,hypothesis_or_justification,confidence,notes
2035,technology,wind_offshore,f_min,WIND_OFFSHORE,1.6,,GW,calibration/patches/fi_baseline_2035.csv,"PATCH: committed projects (base file has 0.0)","1.6 GW = committed Finnish offshore wind projects (Korsnäs Pyhäjoki etc.). Base had 0.0.",high,"Patched from 0.0 -> 1.6 via fi_baseline_2035.csv"
2035,technology,wind_offshore,f_max,WIND_OFFSHORE,21.27,,GW,Data/2035/FI/Technologies.csv,"ENSPRESO [110]","21.27 GW offshore wind potential (Baltic Sea).",high,
2035,technology,wind_offshore,c_inv,WIND_OFFSHORE,1255.37,,Meuro/GW,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues [114]","1255 euro/kW. Higher than onshore. 30-year lifetime.",high,
2035,technology,pv_rooftop,f_min,PV_ROOFTOP,0.8,,GW,calibration/patches/fi_baseline_2035.csv,"PATCH: committed deployment (base file has 0.0)","0.8 GW = current Finnish rooftop PV deployment. Base had 0.0.",high,"Patched from 0.0 -> 0.8 via fi_baseline_2035.csv"
2035,technology,pv_rooftop,f_max,PV_ROOFTOP,13.68,,GW,Data/2035/FI/Technologies.csv,"ENSPRESO [110] — rooftop area potential","13.68 GW max rooftop PV for Finland.",high,
2035,technology,pv_rooftop,c_inv,PV_ROOFTOP,737.89,,Meuro/GW,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues [114]","738 euro/kW. 25-year lifetime.",high,
2035,technology,pv_utility,f_min,PV_UTILITY,0.5,,GW,calibration/patches/fi_baseline_2035.csv,"PATCH: committed deployment (base file has 0.0)","0.5 GW = current Finnish utility-scale PV.",high,"Patched from 0.0 -> 0.5 via fi_baseline_2035.csv"
2035,technology,pv_utility,f_max,PV_UTILITY,58.78,,GW,Data/2035/FI/Technologies.csv,"ENSPRESO [110]","58.78 GW utility PV potential (ground-mounted). Limited by solar_area_ground=345.75 km2.",high,
2035,technology,pv_utility,c_inv,PV_UTILITY,335.40,,Meuro/GW,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues [114]","335 euro/kW. Cheapest per-GW technology. 25-year lifetime.",high,
2035,technology,hydro_dam,f_min,HYDRO_DAM,1.345,,GW,Data/2035/FI/Technologies.csv,"Eurostat [169] / JRC Hydropower [170]","1.345 GW = existing dam capacity. Narrow expansion range.",high,
2035,technology,hydro_dam,f_max,HYDRO_DAM,2.383,,GW,Data/2035/FI/Technologies.csv,"JRC Hydropower database [170]","2.383 GW = maximum feasible expansion per JRC study.",high,
2035,technology,hydro_river,f_min,HYDRO_RIVER,3.264,,GW,Data/2035/FI/Technologies.csv,"Eurostat [169] — current capacity","3.264 GW = fixed run-of-river capacity. No expansion possible (f_min=f_max).",high,
2035,technology,hydro_river,f_max,HYDRO_RIVER,3.264,,GW,Data/2035/FI/Technologies.csv,"JRC Hydropower [170]","Fixed — no new run-of-river sites available.",high,
2035,technology,geothermal,f_min,GEOTHERMAL,0.0,,GW,Data/2035/FI/Technologies.csv,,"No existing geothermal in Finland.",high,
2035,technology,geothermal,f_max,GEOTHERMAL,0.3,,GW,Data/2035/FI/Technologies.csv,"ENSPRESO [110]","Small geothermal potential (0.3 GW). Finland has limited high-enthalpy resources.",high,
,,,,,,,,,,,,
,,,SECTION D: FOSSIL FUEL HYPOTHESES,,,,,,,,
2035,resource,gas,c_op_exterior,GAS,0.04425,,Meuro/GWh,Data/2035/00_INDEP/Resources_indep.csv,"IEA WEO 2020 — Stated Policies Scenario","44.25 euro/MWh natural gas import price for 2035. Higher than historical Finnish prices (~30 euro/MWh pre-2022) reflecting energy transition.",high,"Gas is the marginal fuel — its price determines when GHG constraints start biting."
2035,resource,gas,avail_exterior,GAS,1e15,,GWh/y,Data/2035/02_REF_REGION/Resources.csv,"Framework default","Unlimited gas import. No gas supply security constraint.",high,"HYPOTHESIS: no supply constraint. Russia sanctions not modelled explicitly."
2035,resource,gas,gwp_op_exterior,GAS,0.2666,,ktCO2-eq/GWh,Data/2035/00_INDEP/Resources_indep.csv,"Thesis — lifecycle natural gas (incl. upstream methane leakage)","267 gCO2-eq/kWh. Higher than combustion-only (~200) due to upstream emissions.",high,
2035,resource,gas,co2_net,GAS,0.20,,ktCO2/GWh,Data/2035/00_INDEP/Resources_indep.csv,"Thesis — direct combustion CO2 only","200 gCO2/kWh. Used in the CO2_INDUSTRY layer balance (point-source emissions).",high,
2035,resource,coal,avail_exterior,COAL,0,,GWh/y,Data/2035/02_REF_REGION/Resources.csv,"National/EU policy — coal phase-out","COAL BANNED in 2035. avail_exterior=0 at REF_REGION level. Finland committed to coal phase-out by 2029 (Energy and Climate Strategy 2022).",high,"CRITICAL HYPOTHESIS: zero coal forces the model to find alternatives. Major driver of the 69% natural GHG floor."
2035,resource,oil_products,c_op_exterior,DIESEL,0.07974,,Meuro/GWh,Data/2035/00_INDEP/Resources_indep.csv,"IEA WEO 2020","79.74 euro/MWh diesel import price.",high,
2035,resource,oil_products,c_op_exterior,GASOLINE,0.08237,,Meuro/GWh,Data/2035/00_INDEP/Resources_indep.csv,"IEA WEO 2020","82.37 euro/MWh gasoline import price.",high,
2035,resource,oil_products,c_op_exterior,LFO,0.06015,,Meuro/GWh,Data/2035/00_INDEP/Resources_indep.csv,"IEA WEO 2020","60.15 euro/MWh light fuel oil import price.",high,
2035,resource,oil_products,c_op_exterior,JET_FUEL,0.07974,,Meuro/GWh,Data/2035/00_INDEP/Resources_indep.csv,"IEA WEO 2020","Same price as diesel (79.74 euro/MWh).",high,
2035,resource,oil_products,gwp_op_exterior,DIESEL,0.3148,,ktCO2-eq/GWh,Data/2035/00_INDEP/Resources_indep.csv,"Thesis — lifecycle","315 gCO2-eq/kWh.",high,
2035,resource,electricity,avail_exterior,ELECTRICITY,25000,,GWh/y,calibration/patches/fi_baseline_2035.csv,"PATCH: based on interconnection capacity estimates","25 TWh/y electricity import cap. Base REF_REGION has 0 (no imports at REF level). Finland has ~5.8 GW interconnection (SE NO EE RU). Patch ensures realistic import capacity.",high,"Patched from 0 -> 25000 via fi_baseline_2035.csv"
2035,resource,electricity,c_op_exterior,ELECTRICITY,0.08433,,Meuro/GWh,Data/2035/00_INDEP/Resources_indep.csv,"IEA WEO 2020 / EU Reference Scenario","84.33 euro/MWh electricity import price. Reflects Nordic wholesale + grid fees.",medium,
,,,,,,,,,,,,
,,,SECTION E: BIOMASS & WASTE HYPOTHESES,,,,,,,,
2035,resource,biomass,avail_local,WOOD,110805.66,,GWh/y,Data/2035/FI/Resources.csv,"ENSPRESO ENS_Med scenario [110] (Thesis Table 1.14 p.98)","110.8 TWh/y wood availability. ENSPRESO medium scenario for Finland. Includes forestry residues and industrial roundwood. Very large — Finland is Europe's most forested country.",high,"Wood is cheap (22 euro/MWh) and abundant. Model consumes ~63 TWh in unconstrained — well below 111 TWh limit."
2035,resource,biomass,c_op_local,WOOD,0.02208,,Meuro/GWh,Data/2035/FI/Resources.csv,"ENSPRESO ENS_Med [110]","22.08 euro/MWh. Local biomass cost. Cheaper than gas (44 euro/MWh) — key driver of biomass preference.",high,
2035,resource,biomass,avail_local,WET_BIOMASS,1450.62,,GWh/y,Data/2035/FI/Resources.csv,"ENSPRESO ENS_Med [110]","1.45 TWh/y wet biomass (sewage sludge food waste). Small resource fully consumed in model.",high,
2035,resource,biomass,c_op_local,WET_BIOMASS,0.03310,,Meuro/GWh,Data/2035/FI/Resources.csv,"ENSPRESO ENS_Med [110]","33.10 euro/MWh.",high,
2035,resource,biomass,avail_local,ENERGY_CROPS_2,7754.11,,GWh/y,Data/2035/FI/Resources.csv,"ENSPRESO ENS_Med [110]","7.75 TWh/y energy crops (willow miscanthus reed canary grass).",high,
2035,resource,biomass,c_op_local,ENERGY_CROPS_2,0.02352,,Meuro/GWh,Data/2035/FI/Resources.csv,"ENSPRESO ENS_Med [110]","23.52 euro/MWh.",high,
2035,resource,biomass,avail_local,BIOWASTE,4720.94,,GWh/y,Data/2035/FI/Resources.csv,"ENSPRESO ENS_Med [110]","4.72 TWh/y biowaste. Fully consumed by model (IND_BOILER_BIOWASTE).",high,
2035,resource,biomass,c_op_local,BIOWASTE,0.00011,,Meuro/GWh,Data/2035/FI/Resources.csv,"ENSPRESO ENS_Med [110]","Near-zero cost (0.11 euro/MWh). Gate fee — waste treatment cost avoided.",high,
2035,resource,biomass,avail_local,BIOMASS_RESIDUES,4985.24,,GWh/y,Data/2035/FI/Resources.csv,"ENSPRESO ENS_Med [110]","4.99 TWh/y agricultural and forestry residues.",high,
2035,resource,biomass,c_op_local,BIOMASS_RESIDUES,0.01313,,Meuro/GWh,Data/2035/FI/Resources.csv,"ENSPRESO ENS_Med [110]","13.13 euro/MWh.",high,
2035,resource,waste,avail_local,WASTE,11095.02,,GWh/y,Data/2035/FI/Resources.csv,"ENSPRESO ENS_Med [110]","11.1 TWh/y municipal solid waste. Used in IND_BOILER_WASTE (until GHG constraint tightens).",high,"Waste incineration has high GWP (0.15 ktCO2/GWh). Displaced at ~85% GHG savings."
2035,resource,waste,c_op_local,WASTE,0.00608,,Meuro/GWh,Data/2035/FI/Resources.csv,"ENSPRESO ENS_Med [110]","6.08 euro/MWh. Gate-fee-like pricing.",high,
,,,,,,,,,,,,
,,,SECTION F: DEMAND HYPOTHESES,,,,,,,,
2035,demand,electricity,end_uses_demand_year,ELECTRICITY,43161,,GWh/y,Data/2035/FI/Demands.csv,"EU Reference Scenario 2020 [136] + JRC-IDEES [134]","43.2 TWh/y total direct electricity demand (HH 8.8 + Services 10.6 + Industry 23.7). Projected from JRC-IDEES 2015 base using EU Ref. 2020 growth rates. Does NOT include electrification of heat/transport (model decides).",high,"This is DIRECT electricity demand only. Total system electricity is higher due to heat pumps EVs electrolysis."
2035,demand,heat_high_t,end_uses_demand_year,HEAT_HIGH_T,60544,,GWh/y,Data/2035/FI/Demands.csv,"EU Reference Scenario 2020 [136] + JRC-IDEES [134]","60.5 TWh/y industrial high-temperature process heat. Served by boilers (wood gas waste biowaste) or CHP.",high,"This is the main driver of biomass consumption — boilers are cheapest way to deliver HT heat."
2035,demand,heat_low_t_sh,end_uses_demand_year,HEAT_LOW_T_SH,80054,,GWh/y,Data/2035/FI/Demands.csv,"EU Reference Scenario 2020 [136] + JRC-IDEES [134]","80.1 TWh/y space heating demand (HH 35.9 + Services 21.8 + Industry 22.4). Largest single demand — met by DHN heat pumps or dec. boilers/CHP.",high,
2035,demand,heat_low_t_hw,end_uses_demand_year,HEAT_LOW_T_HW,22307,,GWh/y,Data/2035/FI/Demands.csv,"EU Reference Scenario 2020 [136] + JRC-IDEES [134]","22.3 TWh/y hot water demand.",high,
2035,demand,mobility_passenger,end_uses_demand_year,MOBILITY_PASSENGER,102216,,Mpkm/y,Data/2035/FI/Demands.csv,"EU Reference Scenario 2020 [136]","102.2 billion passenger-km/y. Served by cars (ICE PHEV BEV) buses trains.",high,
2035,demand,mobility_freight,end_uses_demand_year,MOBILITY_FREIGHT,51872,,Mtkm/y,Data/2035/FI/Demands.csv,"EU Reference Scenario 2020 [136]","51.9 billion tonne-km/y freight. Trucks rail short-haul.",high,
2035,demand,aviation,end_uses_demand_year,AVIATION_LONG_HAUL,20428,,Mpkm/y,Data/2035/FI/Demands.csv,"EU Reference Scenario 2020 [136]","20.4 billion passenger-km/y long-haul aviation. Requires jet fuel or synthetic alternatives.",high,
2035,demand,shipping,end_uses_demand_year,SHIPPING,209441,,Mtkm/y,Data/2035/FI/Demands.csv,"EU Reference Scenario 2020 [136]","209.4 billion tonne-km/y maritime shipping. Major freight sector for Finland.",high,
2035,demand,non_energy,end_uses_demand_year,NON_ENERGY,12581,,GWh/y,Data/2035/FI/Demands.csv,"EU Reference Scenario 2020 [136] + Eurostat PRODCOM","12.6 TWh/y non-energy demand (petrochemicals ammonia methanol). Split: HVC 93.0% AMMONIA 3.1% METHANOL 3.9% (from Misc.json).",high,"NED is fixed and served by BIOMASS_TO_HVC (cheapest) OIL_TO_HVC or GAS_TO_HVC. HVC dominates Finnish NED."
2035,demand,process_cooling,end_uses_demand_year,PROCESS_COOLING,3803,,GWh/y,Data/2035/FI/Demands.csv,"EU Reference Scenario 2020 [136] + JRC-IDEES [134]","3.8 TWh/y industrial process cooling.",high,
2035,demand,space_cooling,end_uses_demand_year,SPACE_COOLING,2836,,GWh/y,Data/2035/FI/Demands.csv,"EU Reference Scenario 2020 [136]","2.8 TWh/y space cooling (HH 0.6 + Services 1.7 + Industry 0.5). Small in Finland's cold climate.",high,
,,,,,,,,,,,,
,,,SECTION G: KEY TECHNOLOGY COSTS (REF_REGION),,,,,,,,
2035,technology,gas_heating,c_inv,DEC_THHP_GAS,315.68,,Meuro/GW,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues [114]","Decentralised gas thermodynamic heat pump. 316 euro/kW. 20-year lifetime. The DOMINANT gas consumer in unconstrained scenario (27.4 TWh).",high,"DEC_THHP_GAS is the marginal emitter — displaced when GHG constraint tightens beyond 69%."
2035,technology,gas_heating,c_inv,DHN_BOILER_GAS,58.89,,Meuro/GW,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues [114]","Gas DHN boiler. Very cheap but not selected by model (DHN_HP_ELEC preferred for LT heat).",high,
2035,technology,gas_power,c_inv,CCGT,771.99,,Meuro/GW,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues [114]","Combined cycle gas turbine. 772 euro/kW. 25-year lifetime. c_p=0.85.",high,
2035,technology,gas_power,c_inv,OCGT,490.0,,Meuro/GW,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues [114]","Open cycle gas turbine. 490 euro/kW. Peaking plant.",high,
2035,technology,biomass_heat,c_inv,IND_BOILER_WOOD,115.18,,Meuro/GW,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues [114]","Industrial wood boiler. 115 euro/kW. 17-year lifetime. c_p=0.9. Cheapest way to deliver HT heat from biomass.",high,"Model never installs biomass CHP (IND_COGEN_WOOD) — boilers are cheaper and model has excess electricity from nuclear/wind."
2035,technology,biomass_heat,c_inv,IND_BOILER_GAS,58.89,,Meuro/GW,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues [114]","Industrial gas boiler. Even cheaper than wood boiler (59 vs 115 euro/kW) but gas fuel is 2x more expensive.",high,
2035,technology,biomass_heat,c_inv,DHN_BOILER_WOOD,115.18,,Meuro/GW,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues [114]","DHN wood boiler. Same cost as industrial wood boiler.",high,
2035,technology,ned,c_inv,BIOMASS_TO_HVC,1743.0,,Meuro/GW,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues [128][129]","Biomass-to-HVC. 1743 euro/kW. 20-year lifetime. Main NED supplier (93% of NED is HVC).",high,
2035,technology,electrolysis,c_inv,H2_ELECTROLYSIS,792.57,,Meuro/GW,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues [114]","PEM/alkaline electrolysis. 793 euro/kW. 20-year lifetime. c_p=0.9.",high,
2035,technology,heat_pump,c_inv,DEC_HP_ELEC,492.04,,Meuro/GW,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues [114]","Decentralised electric heat pump. 492 euro/kW. 18-year lifetime. Replaces DEC_THHP_GAS when GHG constraints tighten.",high,
2035,technology,heat_pump,c_inv,DHN_HP_ELEC,344.76,,Meuro/GW,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues [114]","DHN electric heat pump. 345 euro/kW. 25-year lifetime. Used for LT heat via district heating.",high,
,,,,,,,,,,,,
,,,SECTION H: SYSTEM CONSTRAINTS,,,,,,,,
2035,constraint,dhn_share,share_heat_dhn_min,,0.02,,fraction,Data/2035/02_REF_REGION/Misc.json,"Thesis (Ch.1 p.85) — Belgian defaults","2% minimum DHN share of low-temperature heat. REF default — not Finland-specific.",medium,"OPEN QUESTION: Finnish DHN is ~42% of heat in reality. The 2% minimum is far below actual. Run script applies --dhn-min 0.42 --dhn-max 0.50 for calibrated runs."
2035,constraint,dhn_share,share_heat_dhn_max,,0.37,,fraction,Data/2035/02_REF_REGION/Misc.json,"Thesis — Belgian defaults","37% maximum. Below Finnish reality (~42%). OVERRIDDEN by run script patch to 0.50.",medium,"This REF default is too low for Finland. Patched at runtime in run_fi_baseline_future.py."
2035,constraint,mobility,share_mobility_public_min,,0.199,,fraction,Data/2035/02_REF_REGION/Misc.json,"Thesis (Ch.1 p.85)","19.9% minimum public transport share of passenger mobility.",medium,
2035,constraint,mobility,share_mobility_public_max,,0.5,,fraction,Data/2035/02_REF_REGION/Misc.json,"Thesis","50% maximum public transport share.",medium,
2035,constraint,freight,share_freight_train_min,,0.109,,fraction,Data/2035/02_REF_REGION/Misc.json,"Thesis","10.9% minimum rail freight share.",medium,
2035,constraint,freight,share_freight_boat_min,,0.156,,fraction,Data/2035/02_REF_REGION/Misc.json,"Thesis","15.6% minimum maritime freight share. Important for Finland (island economy).",medium,
2035,constraint,ned_split,share_ned_HVC,,0.9304,,fraction,Data/2035/FI/Misc.json,"Eurostat PRODCOM / Rixhon et al. [101]","93.0% of NED is HVC (high-value chemicals). Finland's petrochemical industry is dominated by Neste/Borealis.",high,
2035,constraint,ned_split,share_ned_AMMONIA,,0.0306,,fraction,Data/2035/FI/Misc.json,"Eurostat PRODCOM / Rixhon et al. [101]","3.1% of NED is ammonia.",high,
2035,constraint,ned_split,share_ned_METHANOL,,0.0390,,fraction,Data/2035/FI/Misc.json,"Eurostat PRODCOM / Rixhon et al. [101]","3.9% of NED is methanol.",high,
2035,constraint,solar_area,solar_area_rooftop,,80.49,,km2,Data/2035/FI/Misc.json,"ENSPRESO GIS analysis [110]","80.5 km2 available rooftop area for solar in Finland.",high,
2035,constraint,solar_area,solar_area_ground,,345.75,,km2,Data/2035/FI/Misc.json,"ENSPRESO GIS analysis [110]","345.8 km2 available ground area for solar in Finland.",high,
2035,constraint,solar_area,solar_area_ground_high_irr,,0.0,,km2,Data/2035/FI/Misc.json,"ENSPRESO [110]","No high-irradiance ground area (Finland is too far north for CSP).",high,
,,,,,,,,,,,,
,,,SECTION I: CALIBRATION PATCHES (fi_baseline_2035.csv),,,,,,,,
2035,patch,wind,f_min override,WIND_ONSHORE,0.496 -> 6.0,,GW,calibration/patches/fi_baseline_2035.csv,"National pipeline + targets","Reflects 2035 committed wind deployment well beyond 2020 installed base.",high,
2035,patch,wind,f_min override,WIND_OFFSHORE,0.0 -> 1.6,,GW,calibration/patches/fi_baseline_2035.csv,"Committed offshore projects","First Finnish offshore wind farms expected operational by 2030.",high,
2035,patch,solar,f_min override,PV_ROOFTOP,0.0 -> 0.8,,GW,calibration/patches/fi_baseline_2035.csv,"Current deployment trajectory","Finland rooftop PV growing rapidly. 0.8 GW conservative for 2035.",high,
2035,patch,solar,f_min override,PV_UTILITY,0.0 -> 0.5,,GW,calibration/patches/fi_baseline_2035.csv,"Current deployment trajectory","0.5 GW utility PV committed.",high,
2035,patch,imports,avail_exterior override,ELECTRICITY,0 -> 25000,,GWh/y,calibration/patches/fi_baseline_2035.csv,"Interconnection capacity estimate","25 TWh/y import cap based on ~5.8 GW interconnection * realistic utilisation.",high,
,,,,,,,,,,,,
,,,SECTION J: CO2 LAYER ARCHITECTURE,,,,,,,,
2035,model_structure,co2,CO2_INDUSTRY layer,,mandatory (not in NOT_LAYERS),,layer,Data/2035/00_INDEP/Layers_in_out.csv,"ESMC framework (Thesis)","CO2_INDUSTRY is a mandatory layer: every technology with CO2_INDUSTRY entries must have its production = consumption. 42 technologies have non-zero entries. CO2_EMISSIONS absorbs CO2_INDUSTRY freely (coefficient -1.0 avail_exterior=1e15).",high,"This is why the model does not force CCS: CO2_EMISSIONS provides a free sink for all industrial CO2."
2035,model_structure,co2,CO2_EMISSIONS,,in NOT_LAYERS set,,set membership,Data/2035/00_INDEP/Misc_indep.json,"ESMC framework","CO2_EMISSIONS is in NOT_LAYERS — no mandatory balance. Acts as an accounting layer only.",high,
2035,model_structure,co2,CO2_CAPTURED,,not in NOT_LAYERS,,layer,Data/2035/00_INDEP/Misc_indep.json,"ESMC framework","CO2_CAPTURED is NOT in NOT_LAYERS — it IS a mandatory layer. But with CO2_EMISSIONS absorbing freely CCS is not forced.",high,
2035,model_structure,co2,INDUSTRY_CCS usage,,0.3 kt in unconstrained,,kt/y,Model output,"Model result","INDUSTRY_CCS barely used — CCS not cost-competitive when CO2_EMISSIONS absorbs for free.",high,"CCS only becomes relevant if a CO2_CAPTURED floor is imposed or if carbon pricing is added."
,,,,,,,,,,,,
,,,SECTION K: STRUCTURAL FINDINGS (FROM GHG SWEEP),,,,,,,,
2035,finding,natural_floor,co2_net at unconstrained,,12960,,ktCO2/y,Model output (sweep),"GHG sweep unconstrained result","Model naturally achieves 68.5% GHG savings vs 2017 baseline (41200 kt). Main drivers: coal banned + biomass cheaper than gas + nuclear quasi-forced (32 TWh) + 1.5% discount rate favours capital-intensive clean tech.",high,"Constraint only binds at 70%. Cases at 50% and 65% produce identical solutions to unconstrained."
2035,finding,marginal_emitter,DEC_THHP_GAS consumption,,27424,,GWh/y,Model output (sweep),"GHG sweep — unconstrained vs 95%","DEC_THHP_GAS is THE marginal emitter. Its consumption drops from 27.4 TWh (unconstrained) to 0.04 TWh (95%). Replaced by DEC_HP_ELEC (electric heat pumps).",high,"This single technology drives the entire 69%-to-95% abatement pathway."
2035,finding,biomass_stability,total biomass consumption,,63-65 TWh (stable until 85%),,TWh/y,Model output (sweep),"GHG sweep results","Biomass allocation barely changes until 85% savings. HVC demand (28 TWh) is fixed. Only at 95% does biomass spike to 85 TWh as mobility fuels switch to bio-diesel/bio-jet.",high,"Key insight: Finland's small NED (12.6 TWh 93% HVC) means biomass competition is less dramatic than Belgium's (Colla's 102 TWh NED)."
